nombre,departamento,pais,poblacion,clima
Alyssaton,Louisiana,Malaysia,195217,Seco
Jamieport,Louisiana,Christmas Island,508765,Templado
Kaisertown,New Mexico,Antarctica (the territory South of 60 deg S),64627,Frío
Sarahaven,Massachusetts,San Marino,799495,Frío
Cooperview,Nebraska,Slovenia,683994,Templado
Sharichester,Virginia,Vietnam,839214,Tropical
East Lauren,Montana,Poland,712714,Seco
Richardtown,Washington,Italy,405995,Templado
East Stephaniebury,Arizona,Mongolia,504660,Templado
Lake Margaret,Tennessee,Denmark,911316,Frío
Lake Fred,Kentucky,Indonesia,581979,Tropical
Port Bruce,Missouri,Ghana,822243,Frío
Farrellshire,Vermont,Guinea-Bissau,749742,Tropical
Jamesstad,Alaska,Switzerland,305372,Tropical
Tiffanyton,Kentucky,Vietnam,604005,Frío
East Laura,Arkansas,Moldova,162813,Frío
Victoriaberg,Pennsylvania,Seychelles,258395,Templado
Lake Royhaven,Mississippi,Heard Island and McDonald Islands,576377,Frío
Leeland,Massachusetts,Bangladesh,832717,Templado
Mooreberg,North Dakota,Liberia,568053,Templado
Brownmouth,New Jersey,Guam,636585,Templado
New Kimberlyside,Tennessee,Liberia,116082,Tropical
New Danielle,Georgia,Benin,146197,Frío
Derekshire,Rhode Island,Solomon Islands,445205,Tropical
Robinfurt,South Carolina,Cape Verde,512052,Tropical
Romeroberg,Minnesota,Qatar,589421,Seco
Douglasland,Wisconsin,Sweden,499148,Tropical
Wellsburgh,Florida,Mozambique,673779,Templado
West Samanthamouth,Ohio,Belarus,477503,Frío
West Joseborough,Maine,New Caledonia,242735,Seco
Nicholasbury,Illinois,Malawi,516780,Tropical
Porterhaven,Michigan,Gambia,940617,Templado
Stewartborough,California,Guernsey,249467,Seco
Annamouth,Arizona,Armenia,248422,Frío
Ericland,South Carolina,Samoa,467807,Tropical
Matthewport,Wisconsin,Cote d'Ivoire,897931,Frío
East Ashley,Pennsylvania,Micronesia,130876,Frío
Lake Shawnmouth,Virginia,Libyan Arab Jamahiriya,965082,Frío
Lake Jennifer,Maine,Tajikistan,97083,Templado
Brandonburgh,Maine,Denmark,922181,Seco
Walkertown,South Dakota,Saint Pierre and Miquelon,286142,Templado
Davisburgh,Illinois,Saint Helena,697131,Templado
South Adam,South Carolina,Palau,350448,Seco
Whiteton,Minnesota,French Southern Territories,477224,Seco
Olsonmouth,New York,Netherlands Antilles,634999,Seco
Lake Steventown,Vermont,Isle of Man,866891,Frío
Port Victoria,Virginia,Maldives,535120,Tropical
New Brendanside,Wyoming,Cayman Islands,402826,Frío
Ellisland,California,Kyrgyz Republic,524602,Tropical
Port Matthewfort,Wisconsin,Indonesia,642252,Tropical
South Nicole,Rhode Island,Paraguay,99140,Seco
Mathewsburgh,Mississippi,New Caledonia,309932,Frío
Rileyburgh,Kentucky,Malawi,522555,Templado
East Kevin,Idaho,Wallis and Futuna,684467,Templado
New Sean,Nebraska,Korea,414365,Templado
New Sonyaborough,Connecticut,Falkland Islands (Malvinas),419753,Frío
West Karen,Alaska,Hungary,411374,Tropical
Adkinsside,Rhode Island,French Polynesia,660169,Frío
Calebborough,North Carolina,Cyprus,343429,Tropical
Osbornefort,Iowa,Oman,154397,Templado
West Amy,Mississippi,Nigeria,402100,Templado
Emilyfurt,Louisiana,Belize,647853,Frío
Lake Shawn,California,Thailand,596094,Templado
Cruzburgh,Wyoming,Netherlands,985575,Frío
Lake Scott,New Jersey,Tuvalu,417697,Frío
Thomastown,Michigan,French Guiana,744075,Seco
Austinbury,Indiana,Jordan,937269,Frío
Hollybury,New Mexico,Norfolk Island,465813,Seco
Sandersmouth,Washington,Western Sahara,733531,Tropical
Beckmouth,North Dakota,Cocos (Keeling) Islands,634553,Frío
Sanchezhaven,South Carolina,Lesotho,641677,Tropical
Howardfurt,North Dakota,Costa Rica,868360,Frío
North Amanda,Vermont,Malawi,914006,Templado
